X,Y
0.00000,12314.945
0.13342,12244.256
0.26684,13035.583
0.40027,15870.055
0.53369,21491.959
0.66711,20701.324
0.80053,17951.502
0.93395,17341.814
1.06737,16940.502
1.20080,17514.580
1.33422,18452.971
1.46764,18153.416
1.60106,19076.865
1.73448,19167.348
1.86791,18633.791
2.00133,18437.738
2.13475,17244.572
2.26817,17568.988
2.40159,19281.166
2.53502,20202.201
2.66844,20046.191
2.80186,19616.945
2.93528,18635.709
3.06870,18511.631
3.20212,17395.053
3.33555,16930.029
3.46897,15779.043
3.60239,15233.799
3.73581,15510.107
3.86923,15588.619
