X,Y
0.00000,12970.830
0.13342,13267.824
0.26684,14541.992
0.40027,16096.470
0.53369,18329.920
0.66711,22575.777
0.80053,21803.547
0.93395,18588.020
1.06737,18116.406
1.20080,19599.240
1.33422,22567.125
1.46764,20569.295
1.60106,18962.969
1.73448,17709.625
1.86791,17398.434
2.00133,16441.631
2.13475,16922.648
2.26817,17412.598
2.40159,16721.502
2.53502,15804.509
2.66844,16399.373
2.80186,16855.508
2.93528,16940.750
3.06870,16165.956
3.20212,15643.398
3.33555,14862.082
3.46897,14610.614
3.60239,14736.725
