X,Y
0.00000,35551.336
0.13342,34683.023
0.26684,35697.539
0.40027,35737.414
0.53369,35535.480
0.66711,36352.473
0.80053,36511.023
0.93395,35754.859
1.06737,36535.918
1.20080,35484.043
1.33422,35392.020
1.46764,34936.891
1.60106,34854.133
1.73448,35605.324
1.86791,34054.879
2.00133,35361.074
2.13475,35367.160
2.26817,35710.266
2.40159,35500.270
2.53502,38269.707
2.66844,37368.469
2.80186,37339.254
2.93528,39190.625
3.06870,43057.469
3.20212,49048.520
3.33555,67186.312
3.46897,98630.828
3.60239,116515.648
3.73581,88828.484
3.86923,60119.539
4.00266,49318.988
