X,Y
0.00000,13004.730
0.13342,14885.870
0.26684,17863.076
0.40027,28622.398
0.53369,46134.562
0.66711,57528.270
0.80053,50006.762
0.93395,39906.402
1.06737,39003.328
1.20080,47079.980
1.33422,56776.242
1.46764,55622.281
1.60106,44202.383
1.73448,31892.510
1.86791,26386.754
2.00133,23780.025
2.13475,22505.621
2.26817,20801.617
2.40159,19399.941
2.53502,19901.930
2.66844,18717.025
2.80186,19604.430
2.93528,21306.098
3.06870,22157.504
3.20212,23280.680
3.33555,24612.910
3.46897,20925.977
3.60239,18758.145
3.73581,18308.270
3.86923,17274.855
4.00266,17495.334
4.13608,17404.162
4.26950,18362.000
4.40292,18761.090
4.53634,19177.965
4.66976,21581.430
4.80319,23122.029
4.93661,25264.551
5.07003,26288.426
5.20345,25884.863
5.33687,22825.969
5.47030,19126.809
5.60372,17049.020
5.73714,15271.734
5.87056,14656.722
