X,Y
0.00000,13258.088
0.13342,13509.357
0.26684,15155.801
0.40027,21393.822
0.53369,30296.863
0.66711,31673.117
0.80053,25462.480
0.93395,21344.592
1.06737,19960.117
1.20080,20706.406
1.33422,18926.992
1.46764,17196.367
1.60106,18063.344
1.73448,19463.385
1.86791,18908.490
2.00133,18301.525
2.13475,19813.439
2.26817,20138.383
2.40159,18778.658
2.53502,19662.963
2.66844,18335.967
2.80186,18024.373
2.93528,16826.398
3.06870,16129.206
3.20212,15635.469
3.33555,15706.797
3.46897,15077.399
3.60239,14351.737
3.73581,14354.951
3.86923,14824.083
4.00266,14939.302
4.13608,14449.511
4.26950,14252.206
