X,Y
0.00000,36474.043
0.13342,36188.270
0.26684,36289.098
0.40027,36480.293
0.53369,36865.691
0.66711,36511.680
0.80053,35572.758
0.93395,35561.301
1.06737,35028.082
1.20080,34194.754
1.33422,35512.680
1.46764,34228.688
1.60106,35873.129
1.73448,35204.180
1.86791,36637.363
2.00133,35978.836
2.13475,37351.207
2.26817,35813.930
2.40159,36705.613
2.53502,35867.980
2.66844,35767.703
2.80186,35474.488
2.93528,34769.891
3.06870,36927.609
3.20212,35768.266
3.33555,34530.156
3.46897,36023.977
3.60239,35444.309
3.73581,35671.484
3.86923,37988.191
4.00266,39023.242
4.13608,37697.910
4.26950,37651.234
4.40292,38533.969
4.53634,38258.004
4.66976,37992.875
4.80319,39162.848
4.93661,39339.766
5.07003,38424.395
5.20345,37240.422
5.33687,37081.047
5.47030,38680.000
5.60372,38720.598
5.73714,39306.523
5.87056,36552.594
6.00398,37270.762
6.13741,37526.223
6.27083,37062.574
6.40425,36082.598
6.53767,35494.074
6.67109,36540.270
6.80451,38005.266
6.93794,39160.750
7.07136,41678.070
7.20478,45052.109
7.33820,54309.102
7.47162,79852.266
7.60505,110148.133
7.73847,114527.242
7.87189,85578.875
8.00531,59977.453
8.13873,47744.664
