X,Y
0.00000,29044.148
0.13342,30116.523
0.26684,30818.535
0.40027,32167.375
0.53369,32942.875
0.66711,30495.068
0.80053,31535.400
0.93395,30970.150
1.06737,30974.598
1.20080,30091.691
1.33422,30024.438
1.46764,29926.182
1.60106,30030.971
1.73448,30746.680
1.86791,30943.742
2.00133,31617.449
2.13475,32610.648
2.26817,31855.410
2.40159,32156.627
2.53502,32540.092
2.66844,31427.746
2.80186,33099.484
2.93528,31872.471
3.06870,33633.785
3.20212,33314.422
3.33555,32463.789
3.46897,35242.543
3.60239,36100.656
3.73581,43449.516
3.86923,57967.543
4.00266,77308.156
4.13608,72717.234
4.26950,54083.074
4.40292,42200.070
4.53634,38182.820
