X,Y
0.00000,13920.911
0.13342,15119.009
0.26684,20187.945
0.40027,27950.504
0.53369,28557.951
0.66711,25935.471
0.80053,21901.307
0.93395,19859.695
1.06737,18697.904
1.20080,18889.988
1.33422,18846.158
1.46764,18508.723
1.60106,18432.041
1.73448,16470.875
1.86791,15640.797
2.00133,16303.231
2.13475,17157.455
2.26817,17764.188
2.40159,19293.344
2.53502,20067.236
2.66844,21489.371
2.80186,18741.629
2.93528,17201.629
3.06870,15428.507
3.20212,15180.275
3.33555,15387.208
3.46897,14607.714
3.60239,15461.082
3.73581,15328.532
3.86923,14362.312
4.00266,14706.445
4.13608,13752.589
4.26950,13316.498
4.40292,13339.597
4.53634,13057.570
4.66976,13652.751
4.80319,13582.748
4.93661,13338.065
5.07003,13706.607
5.20345,13708.279
