X,Y
0.00000,34841.664
0.13342,34537.227
0.26684,33839.395
0.40027,34763.801
0.53369,34243.254
0.66711,33942.250
0.80053,35011.473
0.93395,36061.848
1.06737,34622.582
1.20080,36030.488
1.33422,35389.559
1.46764,35285.340
1.60106,36125.340
1.73448,34138.320
1.86791,33920.270
2.00133,35470.051
2.13475,34668.570
2.26817,35410.781
2.40159,34494.539
2.53502,31414.781
2.66844,33478.004
2.80186,34576.570
2.93528,34690.234
3.06870,34284.176
3.20212,34341.578
3.33555,37736.754
3.46897,40957.113
3.60239,55608.766
3.73581,61941.887
3.86923,52751.094
4.00266,42722.133
4.13608,39337.793
