X,Y
0.00000,13354.448
0.13342,15168.581
0.26684,18814.334
0.40027,27154.666
0.53369,32752.895
0.66711,28038.865
0.80053,21746.963
0.93395,18685.426
1.06737,18170.189
1.20080,19366.186
1.33422,18797.279
1.46764,18658.062
1.60106,18770.041
1.73448,18190.881
1.86791,17027.441
2.00133,16296.248
2.13475,15632.535
2.26817,16813.572
2.40159,17444.205
2.53502,18878.225
2.66844,19475.598
2.80186,20697.564
2.93528,20066.816
3.06870,17504.676
3.20212,15306.924
3.33555,14404.020
3.46897,14118.875
3.60239,13112.277
