X,Y
0.00000,36607.730
0.13342,37734.895
0.26684,37041.828
0.40027,37736.746
0.53369,37400.492
0.66711,39518.285
0.80053,38622.055
0.93395,38228.750
1.06737,37121.816
1.20080,37709.910
1.33422,37320.684
1.46764,38371.973
1.60106,37879.523
1.73448,36639.207
1.86791,37488.930
2.00133,37420.562
2.13475,39420.184
2.26817,41328.664
2.40159,43503.391
2.53502,44542.363
2.66844,44032.926
2.80186,46121.426
2.93528,53730.219
3.06870,76689.211
3.20212,107970.742
3.33555,104725.242
3.46897,73457.773
3.60239,54447.836
3.73581,46432.281
