X,Y
0.00000,36606.195
0.13342,37524.910
0.26684,37622.324
0.40027,37047.879
0.53369,38468.461
0.66711,37843.457
0.80053,38197.969
0.93395,36659.555
1.06737,37517.879
1.20080,37192.027
1.33422,36839.258
1.46764,37979.414
1.60106,36741.613
1.73448,37862.461
1.86791,38199.641
2.00133,35904.016
2.13475,36918.445
2.26817,35716.566
2.40159,37015.867
2.53502,35854.367
2.66844,36763.422
2.80186,35806.336
2.93528,37368.219
3.06870,38549.250
3.20212,37107.266
3.33555,37296.422
3.46897,34812.531
3.60239,35918.812
3.73581,36272.566
3.86923,37156.594
4.00266,40438.496
4.13608,46812.965
4.26950,61930.004
4.40292,97490.547
4.53634,118578.672
4.66976,90060.398
4.80319,59814.410
4.93661,47284.637
